name;version OLD;version NEW;URL к репозиторию;alternative;dependency;комментарий
@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining;8.0.1;8.0.1;https://www.npmjs.com/package/%40babel%2Fplugin-bugfix-v8-spread-parameters-in-optional-chaining;npm install @babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining@8.0.1;@babel/preset-env;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@babel/plugin-bugfix-v8-static-class-fields-redefine-readonly;8.0.1;8.0.1;https://www.npmjs.com/package/%40babel%2Fplugin-bugfix-v8-static-class-fields-redefine-readonly;npm install @babel/plugin-bugfix-v8-static-class-fields-redefine-readonly@8.0.1;@babel/preset-env;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@babel/plugin-syntax-async-generators;7.8.4;7.8.4;https://www.npmjs.com/package/%40babel%2Fplugin-syntax-async-generators;npm install @babel/plugin-syntax-async-generators@7.8.4;babel-preset-current-node-syntax;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@babel/plugin-syntax-bigint;7.8.3;7.8.3;https://www.npmjs.com/package/%40babel%2Fplugin-syntax-bigint;npm install @babel/plugin-syntax-bigint@7.8.3;babel-preset-current-node-syntax;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@babel/plugin-syntax-class-properties;7.12.13;7.12.13;https://www.npmjs.com/package/%40babel%2Fplugin-syntax-class-properties;npm install @babel/plugin-syntax-class-properties@7.12.13;babel-preset-current-node-syntax;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@babel/plugin-syntax-class-static-block;7.14.5;7.14.5;https://www.npmjs.com/package/%40babel%2Fplugin-syntax-class-static-block;npm install @babel/plugin-syntax-class-static-block@7.14.5;babel-preset-current-node-syntax;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@babel/plugin-syntax-import-attributes;7.29.7;7.29.7;https://www.npmjs.com/package/%40babel%2Fplugin-syntax-import-attributes;npm install @babel/plugin-syntax-import-attributes@7.29.7;babel-preset-current-node-syntax;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@babel/plugin-syntax-import-meta;7.10.4;7.10.4;https://www.npmjs.com/package/%40babel%2Fplugin-syntax-import-meta;npm install @babel/plugin-syntax-import-meta@7.10.4;babel-preset-current-node-syntax;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@babel/plugin-syntax-json-strings;7.8.3;7.8.3;https://www.npmjs.com/package/%40babel%2Fplugin-syntax-json-strings;npm install @babel/plugin-syntax-json-strings@7.8.3;babel-preset-current-node-syntax;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
@babel/plugin-syntax-jsx;7.29.7;7.29.7;https://www.npmjs.com/package/%40babel%2Fplugin-syntax-jsx;npm install @babel/plugin-syntax-jsx@7.29.7;jest-snapshot;Транзитивная зависимость. Версию менять только через npm update / пересборку lockfile; самостоятельный апгрейд может нарушить peer-зависимости родителя.
